1.000000000000000000e+01,1.019999999999999929e+01,1.080000000000000071e+01,1.150000000000000000e+01,1.169999999999999929e+01,1.219999999999999929e+01,1.309999999999999964e+01,1.330000000000000071e+01,1.350000000000000000e+01,1.369999999999999929e+01,1.500000000000000000e+01
1.027466679904356184e+01,1.116563255745426453e+01,1.102648196288449434e+01,1.237102712130931437e+01,1.184041649381362937e+01,1.288530615458664563e+01,1.391079580409200034e+01,1.412365178082962558e+01,1.387562977249929652e+01,1.387986515064455340e+01,1.513699613320515702e+01
1.044605098238748653e+01,1.169489356592706386e+01,1.171172715072117754e+01,1.256715807541559826e+01,1.257642350044431367e+01,1.307598923984784811e+01,1.393338057597441626e+01,1.412438011452085718e+01,1.393473696963252451e+01,1.401789183224673785e+01,1.607051522148342215e+01
1.144021661592541150e+01,1.268248748188097430e+01,1.208586190675405803e+01,1.323674927462846718e+01,1.324724241429774629e+01,1.323937907633343158e+01,1.402504785156749456e+01,1.484317253677900617e+01,1.424893439888034585e+01,1.436763955595460374e+01,1.653745006625409530e+01
1.223463768844508870e+01,1.317495349893261114e+01,1.249871946830426062e+01,1.407991399181873682e+01,1.409229484377619102e+01,1.405195551995733361e+01,1.494580764455842825e+01,1.548166291093220437e+01,1.443762506836716852e+01,1.530367544337254593e+01,1.698709135425088945e+01
1.313506306730526063e+01,1.413301304327943342e+01,1.255247473700174510e+01,1.462115775359841408e+01,1.455610648717000899e+01,1.462311369487166957e+01,1.508377361934244298e+01,1.560895044665033993e+01,1.531791960713941414e+01,1.630250452084348467e+01,1.725965784496086997e+01
1.399252968857386570e+01,1.494912946205176496e+01,1.352526993418168644e+01,1.465266313007562182e+01,1.484705593585604966e+01,1.556095517750924273e+01,1.572110922836323788e+01,1.641583140595084700e+01,1.545318019506955487e+01,1.692830388058821356e+01,1.820094388815097020e+01
1.424143058188107425e+01,1.562871561651872554e+01,1.361572208139237361e+01,1.518911497298627467e+01,1.561177326227804940e+01,1.640147842318377869e+01,1.634119464476319195e+01,1.721296679377991268e+01,1.555888316590441356e+01,1.727822398651072788e+01,1.821375397218366032e+01
1.503370036631450368e+01,1.652075565983766481e+01,1.444434943919604741e+01,1.523361134173805453e+01,1.584590029224537133e+01,1.723719669736547644e+01,1.648223804562216088e+01,1.788487090962489745e+01,1.615800686574072387e+01,1.741983642038968938e+01,1.894351399439750949e+01
1.581457696359812459e+01,1.734243702275730570e+01,1.488356908064040240e+01,1.552690870178791371e+01,1.676027863856851852e+01,1.807476677172334689e+01,1.663403188022859780e+01,1.789876196410034837e+01,1.629570652995258584e+01,1.801489853355314708e+01,1.980232673209757266e+01
1.617743396716993942e+01,1.807293332879893555e+01,1.519160611464328170e+01,1.610024791910820241e+01,1.733580162723798068e+01,1.879866361873735059e+01,1.668609972705089461e+01,1.815802353490202137e+01,1.689848261409047936e+01,1.845994338008428670e+01,2.025384618437990625e+01
1.651333260443487561e+01,1.897680946374572741e+01,1.567321960901063171e+01,1.703211765661641763e+01,1.793378343704604561e+01,1.931815379963610013e+01,1.707339525836282235e+01,1.886457671390933655e+01,1.766591178410095608e+01,1.894693076892675876e+01,2.112740627446956765e+01
